Stock_Name,Feature_Vector,MSE,MAPE
BA,Close,1.0000599167092945,58919760002.39988
VRTX,Close,1.1146910281643183,12984032120910.008
AFG,Close,1.0000524598647498,140861348566.15295
SSPK,Close,1.056002276506364,1086046068575.7593
GGAL,Close,1.0012297326350117,1074551941410.575
SNR,Close,1.0260573151430488,8034583222129.088
GILD,Close,1.0066302081247573,695045428806.1794
SHSP,Close,7.038708484876468,0.5164406303624435
WW,Close,1.0000299708291056,138825133076.30817
CHN,Close,1.000242116091757,134222788349.03258
YGYIP,Close,1.0962972826655468,8204240727187.004
VQT,Close,1.0028257578230528,123601518730060.48
AQN,Close,0.9995479997571132,1127032011369.8606
MDB,Close,1.1520944716329233,2.3829183712353634
MGY,Close,1.021750279430874,197786067625.93182
FTS,Close,1.0000387623174984,169815246471.1212
EVBN,Close,1.0001221164428657,760100381231.5072
SLM,Close,1.0974706148903761,7693806346308.355
FSCT,Close,1.2357525292885143,0.07753018585260193
NYMTP,Close,1.0034429672592602,444896304334.6971
SNE,Close,1.1122950255508333,7098946020575.586
NLSN,Close,0.9996948993339533,1496820353073.5735
AMKR,Close,1.2627136441599078,0.2007373364717006
VPG,Close,1.0094472102555412,5492215618586.185
THC,Close,1.0000852890373115,136453868629.84717
FCFS,Close,1.0000745876748902,1064481866468.8136
CLLS,Close,1.2716020592514523,2.267543792316304
VRAY,Close,1.0000002846030793,2706022946509.3574
LOOP,Close,1.0799004959309397,4961597177579.711
CHY,Close,0.9997972230632521,374791213437.7113
TAYD,Close,1.0000004149936252,423699166282.20233
MDU,Close,1.0032110754654582,1314694835967.385
CREX,Close,1.1909118007495196,228327527098777.38
ACIU,Close,4.688422926703756,0.5638958686585424
XELA,Close,1.0074029726576075,747840652213.7539
TDW,Close,3.834543401075487,1903933449495126.5
TATT,Close,1.217676096352416,0.16414918693897534
WSTG,Close,1.0002765647222793,442730742811.9816
MIE,Close,1.0089742400139392,4614809294488.2
CFR,Close,1.0632189422738592,6555432460994.382
SCU,Close,1.0036647019934295,2005584886625.1335
PFMT,Close,1.3238490703405066,31665904680961.438
DCO,Close,1.0993112302270331,14497553660954.045
VRNA,Close,1.279966727313464,71395405513493.97
CGA,Close,115.5971903212526,9.185689182204367
TVTY,Close,1.2282455260430862,48658846103354.04
EQIX,Close,1.0069626556142481,1.6264487816157072
ZG,Close,1.5344755555992828,11479433351507.068
HVT,Close,1.8816244601476637,49020322426335.266
STMP,Close,1.0000031198381172,717305032076.791
PFNX,Close,1.0933602333717098,12282555250790.014
DUOT,Close,2.4660847259618826,0.9943531897772553
MKL,Close,1.0000534821246247,476105197157.67334
GURE,Close,1.0016024365156424,426341234263.7193
QUIK,Close,40.53382876772866,4.085314046412498
HUN,Close,1.7037964116780393,15978565138158.203
STON,Close,1.650818291253789,44345015564076.7
TDA,Close,1.0301838488068369,11674027134460.87
MBOT,Close,1.0029020077432698,0.8766832034018427
TER,Close,1.0013248089536315,2460104430600.3857
CULP,Close,1.062541754940862,16818657238303.58
HARP,Close,1.061971088148436,1.3289237731416004
MLCO,Close,1.1344816722573061,13483754064573.129
YJ,Close,1.0030224422871015,3028425415965.261
PHCF,Close,1.2599482479784587,0.048683462543073305
SMBK,Close,1.001599547064709,1922175713950.8452
JOB,Close,1.0001086992504926,1090193558309.1295
GPMT,Close,1.0000215568381061,8366907737.048909
VRML,Close,14.580043186059916,1.902013017616971
TZAC,Close,1.0008587607838382,7068997701299.512
PODD,Close,1.0020179602916799,343100330121.74164
TIF,Close,1.0131471321885703,5867184371409.558
MDT,Close,1.0004173020985088,81505465969.41385
ARC,Close,1.000075381785611,1454812700397.4194
ATGE,Close,1.0004839254586984,768437803489.5381
IPAR,Close,0.9999523342883174,457883308172.8239
JBR,Close,1.0054181626085001,3502474491980.3643
DLA,Close,1.0011353492279236,518923010965.9943
STAR,Close,54.01054942381005,1.1053245085797405
SND,Close,1.1651928500571116,9217885183282.914
AXSM,Close,1.0127947298437556,5130982236091.88
HSBC,Close,0.9999166778173637,464248379894.2435
ASG,Close,1.0000904262762098,328330249081.85486
NEXA,Close,1.0669411002813152,4968214967995.628
CIK,Close,1.0000029928257246,964348226247.7539
BOOT,Close,1.8724384129362663,1.0185165118796595
MDC,Close,1.0976744616856398,11353916144692.797
UI,Close,1.150662244572809,4.656216983560087
BCYC,Close,1.0054861748645594,1.0155856334319304
SJIJ,Close,1.003132836280484,1.0759268516256522
AMSWA,Close,4.8661678102678225,0.37664753353871205
PAGP,Close,1.0427882681838012,4157158314577.9556
FORM,Close,1.0000162478610153,1145200772013.0388
RILYG,Close,1.000572698831226,488.02107259989515
FTR,Close,1.0002475015172372,2560685923483.9204
FUV,Close,1.0113301907615322,1284683241237.8982
DNI,Close,1.0033684309287147,2226871019816.9453
TSCAP,Close,1.0006360852497613,6623092215567.953
TM,Close,1.0000167664490969,207296825874.33502
CPIX,Close,1.9387315636207614,0.14534443063834437
FTSI,Close,1.1034816070236244,3647794878472.0273
DESP,Close,1.0000659712738906,1.1416044305181003
V,Close,1.0471719146426852,26052758418396.54
QRVO,Close,1.03678979167981,17895790240171.332
CIEN,Close,1.0022785601973774,876359504283.1643
SALM,Close,1.0007983618232263,2465221800979.74
SXI,Close,1.0089242184585516,3618856515518.7974
GEOS,Close,1.2448665406703472,10800746846340.91
IRMD,Close,1.4100467226870057,17575006175235.69
AL,Close,1.0034157128665504,300807338607.06836
BW,Close,1.4297847866506659,15331388365630.436
A,Close,1.033744070811084,1.6268429265102669
REKR,Close,1.0014152312928384,182184331967.37372
CS,Close,1.0027799609478152,51617041431.9682
CEPU,Close,1.7145317622793925,18764980551682.457
ATRS,Close,2.3099410098191484,0.7661003287621013
FLC,Close,1.000229766593667,0.9556886227544911
HBP,Close,1.0100987983359158,597595437636.4314
FOX,Close,1.2397719710376551,1.770299429252518
MX,Close,1.0000195932916554,259092497135.40668
NC,Close,1.0001542590924903,20859701675.148136
DUC,Close,1.0000361530963033,657999017461.68
DTP,Close,1.1489801056770923,1819.5026833061622
FLT,Close,1.0007786532205687,894076598320.0234
HMSY,Close,1.1669785411816551,15733084130668.646
MO,Close,1.000045755986835,108085884666.45183
LK,Close,1.5716189760211536,4.223770462625594
AMPY,Close,10.546370716547722,1.9605916221676984
HFBL,Close,1.0002584550125664,13813747543225.014
SUN,Close,1.0000509129642534,167905664141.27945
AVEO,Close,1.688942162712161,416539169767233.4
HCC,Close,1.272429301131744,0.14027447706367546
ICLK,Close,1.0214849632092005,2142416388463.7502
IMAC,Close,1.0002491672709142,727735665458.3325
WBC,Close,1.001853400470319,5159728779873.09
COFS,Close,1.0000006007118654,11163058731851.475
MCRI,Close,0.9999921423422958,177635068602.86624
SGMO,Close,1.1546920137207306,0.3967193197433163
CTRA,Close,1.0057151255853753,8286861519588.9795
SWKS,Close,1.0078458225170455,2617590447184.4727
USOI,Close,1.0128847420597111,854996146522.6018
FRPT,Close,1.0001985139707281,968796480074.5248
ALACR,Close,1.0044847577077471,0.12804878048780488
ALYA,Close,1.162194073370099,17027822985166.861
ZGNX,Close,1.349977515410552,27123669873688.438
RCKT,Close,1.003535529494135,104494687829.04861
UCHF,Close,1.0006694463881007,0.7391304347826086
WBT,Close,1.01889166804113,44886946674.40546
TBPH,Close,1.0584278932699065,10991855014459.227
UCIB,Close,3.7218061923993138,730207215956492.2
NMY,Close,6.124401459271785,0.11602295153894711
PPSI,Close,1.005605132194725,188334018143.2114
MFNC,Close,3.8854256021040388,0.22499798838709653
GEL,Close,1.0040625692030873,243625209354.0123
IHD,Close,3.2029359070209433,49658258628897.5
FRSX,Close,2.818799648865563,0.4420454295784736
LPTH,Close,921.1443055799075,12.797673528279544
VCTR,Close,1.2642411689041662,2.8537192422258877
USAU,Close,1.2469719923483578,388456396881799.94
LEAF,Close,3.973945661806098,1.2298496803651453
ENPH,Close,1.0017105462752887,129383493087.97693
NCR,Close,1.0001561685134297,80891259531.1624
ITCI,Close,1.0007200657871913,336593749142.7403
HWCC,Close,1.0000110023760493,1540346598409.4705
BTA,Close,1.2126425889134695,0.05048419286831877
KNSA,Close,1.0000044078532282,1.1466330834665426
BEAT,Close,1.3387936462855874,18950756491672.402
GIX,Close,1.0011038936920185,531043263367.9796
MHLD,Close,4.8200208253499355,189183962435230.5
IEC,Close,1.0273154596561933,7030154177176.337
NOVA,Close,1.211299554848303,2.1503961389677504
OIIM,Close,1.008390133113563,2815127487799.319
APEI,Close,1.2486454290709668,0.2366420103251729
NAZ,Close,1.3104600125463248,26446630639532.75
GLADL,Close,1.0437244555350331,9398882345317.295
PBBI,Close,1.000397162082225,8591379236658.041
UTL,Close,1.0001947933409647,150016055403.34512
NXTD,Close,1.2144631344946264,7070828057965.116
GJT,Close,1.0006399734763054,3092348560989.7417
MARK,Close,1.001070488823506,4000786765752.5376
UBA,Close,1.0005943638007204,130162994465.49529
PACQU,Close,1.000045192563048,5349170192053.006
BPOP,Close,1.0104892307372826,3483467280196.4365
NOAH,Close,2.6208825364229296,64882542223505.83
SLGG,Close,1.045129008609577,2657328027281.0664
EGF,Close,1.0448283868975161,10669742406766.572
XTNT,Close,2.4780905307824055,66145212542304.64
EYES,Close,1.123935834128018,32870069201727.773
ALCO,Close,1.0000605483917573,167981017114.5607
TRNE,Close,1.0075989942715984,5661088458217.383
ICUI,Close,1.00053528822124,344974654811.80664
NVS,Close,1.0006601566785158,281546085109.5323
MCHP,Close,1.0000353174600352,111579944371.67075
PBTS,Close,1.060196450201357,1.0552496117476529
BBL,Close,1.000200255386123,60578964659.330864
CDNS,Close,1.0174244628450644,3758006964613.901
TROV,Close,61.71279572810086,78.68784165048214
BPMX,Close,2.069470783685019,23587288551185.36
NVMI,Close,1.0010124336119293,78891311995.95993
BCH,Close,1.0007752747201049,100338913812.37347
FUNC,Close,1.0004691878484953,124567820696.14716
KRYS,Close,1.000043066606946,1677938801118.4304
MTEM,Close,1.2263803226498007,35912965051098.22
UNB,Close,1.1346090532483393,50885978387371.47
CORV,Close,1.3033258944014678,24365468207415.973
ARDX,Close,1.0586522376400214,8357220423280.369
SPXC,Close,0.9999543835022223,89102369051.33366
TUES,Close,4.079091769257321,137833880143684.98
PTVCA,Close,1.0002653777542734,4206429385279.6294
EHI,Close,1.0002040599636237,722303274958.9926
GSV,Close,1.032038742893552,2990940250786.112
GPM,Close,1.0009732553350987,418638488591.47327
EIM,Close,3.6818938919236097,0.08215745798339247
LIND,Close,1.006688684262828,209391166908.69525
BILI,Close,1.0491420321423874,1.315707270132351
PRH,Close,1.0000512396407053,152807465123.6066
DTEA,Close,0.9996362225474988,1327758109972.9795
AEGN,Close,5.350596063704944,0.26146351011751284
SRAC,Close,1.000190956861332,0.609375
IVAC,Close,3.1196874202217373,0.6765691555746118
LBC,Close,2.042768339364097,7.890719253935478
FWONK,Close,1.0705287474294733,4378510375141.9355
PSN,Close,1.002485172400868,0.6846846846846847
FLNT,Close,1.0016207831165798,4904790184976.249
MTEX,Close,1.0085382561333789,21659716039108.152
IBKCO,Close,1.000181554587171,1136477935826.0654
LAZ,Close,1.0774264627015149,0.12177949198257618
CCEP,Close,1.003542931711919,1635755821970.4678
WWW,Close,1.4114083256516186,16673841625556.652
ULH,Close,1.1789184796124494,0.16908812157142056
RJN,Close,1.0010910403172684,2663489136323.1006
WLTW,Close,1.4342427071572867,46345582398962.85
ABCB,Close,1.4575018830480928,37578305932107.06
MSCI,Close,1.0018282970050916,16372393417026.814
GSC,Close,1.0015744173388963,21320667912919.84
GPX,Close,1.000168073592128,205181168999.3867
CHTR,Close,1.5303988422653543,91710420312685.83
